Plot,Real.rich,Legume,Hed,PD,MNND,MPD,H,Simp,biomass2012,litter2012,biomass2013,biomass2014,ave.biomass,Light.tau,LAI,C.change.deep,C.change.surf,N.change.deep,N.change.surf,mean.N.change,poll_total,flwr_total,Mass.loss.1month,Mass.loss.2month,GRASS,SOAL,MOFI,ASTU,DECA,Damage_effect,bugs,bug.rich
X67,3,N,1.095185572,216.9488097,127.544649,144.6325398,0.765304101,0.51457923,66.73,20.26,52.33,54.73,57.93,0.032,6.51,0.184,0.834,0.15,0.034,0.092,207,30970.86364,2.567,3.182,NA,0.176811335,NA,0.039799798,NA,0.216611133,35,11
X77,4,LP,1.383303551,249.8918877,51.91355264,149.2900743,0.71836039,0.502591945,83.2,33.68,97.22,36.33,72.25,0.029,6.69,0.55,0.238,0.272,0.009,0.1405,135,1182.833333,2.523,3.447,NA,NA,-0.408753243,NA,-0.383271971,-0.792025214,18,4
X27,4,LP,1.383986919,288.8221068,90.84377171,162.266814,0.953669022,0.566648303,110.5,32.89,70.64,58.02,79.72,0.005,8.03,-0.178,0.048,-0.027,0.011,-0.008,119,9696.257143,3.621,3.7126,NA,-0.141170163,NA,NA,-0.209706299,-0.350876462,25,6
X62,2,LP,0.693147181,320,320,320,0.200296729,0.096090683,85.75,6.22,63.23,36.86,61.94666667,0.031,7.2,1.208,0.789,0.15,-0.026,0.062,44,917.3333333,4.127,4.922,-0.158245246,NA,NA,NA,0.009433417,-0.148811829,17,3
X51,2,N,0.693147181,320,320,320,0.099325035,0.039835553,116.57,52.24,120.95,96.63,111.3833333,0.013,7.74,0.229,0.377,0.197,0.094,0.1455,269,38955.75,3.772,4.756,NA,-0.180880302,NA,NA,NA,-0.180880302,33,11
X34,2,N,0.693147181,320,320,320,0.032221393,0.01022837,66.14,9.93,87.09,47.55,66.92666667,0.009,7.59,-0.113,-0.011,0.068,0.024,0.046,0,6,4.098,4.504,-1.48660177,NA,NA,NA,NA,-1.48660177,3,3
X58,2,N,0.693147181,320,320,320,0.693147092,0.499999912,47.6,49.38,47.32,29.9,41.60666667,0.152,3.61,-0.021,0.076,0.116,0.004,0.06,154,101.2142857,3.548,4.086,-0.558460998,NA,NA,NA,NA,-0.558460998,4,3
X39,2,LP,0.693147181,320,320,320,0.407907916,0.243139107,45.34,14.25,44.18,53.18,47.56666667,0.357,1.99,0.009,-0.03,0.044,0.017,0.0305,0,0,3.238,4.071,0.057856023,NA,NA,NA,NA,0.057856023,6,5
X4,2,N,0.693147181,320,320,320,0.224971759,0.111525358,77.93,34.5,59.62,51.23,62.92666667,0.1,3.04,-0.518,0.421,-0.012,0.024,0.006,150,324.4285714,2.972,3.521,-0.04241343,NA,-0.377114421,NA,NA,-0.419527851,4,2
X98,2,N,0.693147181,320,320,320,0.530657457,0.346523036,81.8,16.59,63.85,110.16,85.27,0.067,4.22,0.228,1.81,0.192,0.069,0.1305,51,12529.66667,3.117,4.062,-0.168039643,0.057474266,NA,NA,NA,-0.110565377,11,7
X17,3,N,1.04324365,323.3363427,111.1151236,215.5575618,0.447479199,0.219305867,44.16,53.67,59.23,106.29,69.89333333,0.012,6.32,-0.504,-0.297,0.059,0,0.0295,0,0,3.971,4.194,-0.926850838,NA,NA,NA,NA,-0.926850838,5,5
X12,4,N,1.386294313,326.7737201,6.773720139,215.59124,0.857917566,0.530874285,87.42,22.2,30.41,88.39,68.74,0.007,7.28,0.145,0.181,0.009,0.051,0.03,44,12420.75,3.229,4.074,-3.325827776,-0.129770424,NA,NA,NA,-3.4555982,31,15
X88,4,N,1.386270403,329.1531799,9.153179936,216.3843933,0.151963748,0.05431535,84.1,32.24,33.89,43.55,53.84666667,0.349,1.74,1.625,-0.174,0.148,0.131,0.1395,42,18256,3.074,4.006,0.220866166,0.005551693,NA,NA,NA,0.226417859,8,6
X36,4,N,1.386082658,333.5355464,13.53554636,217.8451821,0.132412486,0.052043347,129.35,9.67,211.95,140.04,160.4466667,0.024,6.01,0.37,0.227,0.086,0.001,0.0435,0,0,3.749,3.967,-1.811223967,NA,NA,NA,NA,-1.811223967,10,5
X22,3,LP,1.093426926,418.9891675,238.6522234,279.3261117,0.365627737,0.177834721,91.81,141.6,114.51,85.42,97.24666667,0.046,5,NA,NA,0.032,NA,0.032,44,1190.857143,3.544,3.905,0.653334532,NA,NA,-0.783287062,-0.171257834,-0.301210364,24,12
X8,3,LP,1.093426926,418.9891675,238.6522234,279.3261117,0.756096738,0.512033176,166.82,21.46,148.84,125.51,147.0566667,0.006,7.14,NA,NA,-0.045,0.031,-0.007,0,0,3.283,3.608,-2.746009281,NA,NA,NA,NA,-2.746009281,4,4
X56,4,N,1.38337288,428.3019981,108.3019981,249.4339994,0.315669629,0.1480714,77.36,43.1,124.76,89.75,97.29,0.23,3.38,1.033,0.728,0.196,0.089,0.1425,91,194.625,2.755,4.06,-0.190506108,NA,-0.772475244,NA,NA,-0.962981352,3,2
X100,4,N,1.381465997,438.6496435,118.6496435,252.8832145,1.082457413,0.648645971,71.18,13.74,113.89,102.84,95.97,0.041,4.99,1.209,0.459,0.152,0.046,0.099,23,11108.16667,2.645,4.305,0.164830581,-0.049601006,NA,NA,NA,0.115229575,7,4
X3,4,LP,1.377291834,456.7785958,136.7785958,258.9261986,1.176186468,0.671237292,122.24,74.23,74.33,50.66,82.41,0.031,5.53,1.762,0.111,-0.046,-0.009,-0.0275,53,2126.142857,3.147,3.718,-0.34584386,NA,NA,NA,0.045724379,-0.300119481,7,6
X61,4,N,1.368392888,478.2104622,197.7803545,239.6902258,0.982536001,0.577449354,111.66,36.34,86.21,64.08,87.31666667,0.014,8.21,0.751,1.357,0.153,0.06,0.1065,107,11214.83333,3.197,4.522,-1.087781204,-0.226414898,-1.251001283,-0.08153571,NA,-2.646733095,4,1
X74,4,LP,1.373412992,499.8493829,210.3547991,252.9461835,1.063133504,0.64350869,139.36,38.48,149.93,121.61,136.9666667,0.007,8.47,0.063,0.697,0.226,0.033,0.1295,61,15017.425,3.079,3.88,0.634985393,-0.421468305,NA,NA,-0.13754258,0.075974508,25,9
X23,4,LP,1.373412992,499.8493829,210.3547991,252.9461835,0.765483059,0.412937692,42.91,22.45,60.81,53.8,52.50666667,0.044,4.95,-0.162,0.49,0.068,0.07,0.069,84,636.75,3.014,3.865,-0.657924643,NA,NA,-0.108081718,NA,-0.766006361,17,13
